run_name,method,init,split,seed,model_type,rounds,clients,clients_per_round,local_steps,rank,heads,lr,batch_size,grad_accum_steps,effective_batch_size,use_amp,dirichlet_alpha,max_length,final_acc,best_acc,final_test_acc,best_test_acc,final_loss,trainable_adapter_params,trainable_head_params,total_trainable_params,communicated_params_per_round,communicated_adapter_params_per_client,total_main_communication_params,warmup_clients,warmup_steps,warmup_rank,warmup_weighting,warmup_trainable_params,warmup_communicated_params,warmup_train_runtime_s,warmup_svd_runtime_s,warmup_total_runtime_s,total_runtime_s,git_commit,timestamp,warmup_upload_mode
fedit_iid_seed0_20260613_124409,t5_fedit,lora,iid,0,t5,50,20,3,50,32,,0.001,32,1,32,True,0.3,256,0.69145,0.69676,0.69145,0.69676,,1179648,15380,1195028,3585084,1179648,179254200,,,,,,,,,,845.4,471c8f4,2026-06-13T12:57:55,
fedit_noniid_seed0_20260613_125831,t5_fedit,lora,noniid,0,t5,50,20,3,50,32,,0.001,32,1,32,True,0.3,256,0.627456,0.648035,0.627456,0.648035,,1179648,15380,1195028,3585084,1179648,179254200,,,,,,,,,,840.4,471c8f4,2026-06-13T13:12:11,
t5_ravan_gram_schmidt_iid_seed0_20260613_131240,t5_ravan_gram_schmidt,gram_schmidt,iid,0,t5,50,20,3,50,110,4,0.0005,32,1,32,True,0.3,256,0.687732,0.687732,0.687732,0.687732,,1161696,15380,1177076,3530940,1161600,176547000,0,0,,,,0,0.0,0.0,0.0,1141.1,471c8f4,2026-06-13T13:31:23,
t5_ravan_gram_schmidt_noniid_seed0_20260613_133151,t5_ravan_gram_schmidt,gram_schmidt,noniid,0,t5,50,20,3,50,110,4,0.0005,32,1,32,True,0.3,256,0.636086,0.640998,0.636086,0.640998,,1161696,15380,1177076,3530940,1161600,176547000,0,0,,,,0,0.0,0.0,0.0,1145.8,471c8f4,2026-06-13T13:50:39,
t5_ravan_svd_iid_seed0_20260613_135114,t5_ravan_svd,svd,iid,0,t5,50,20,3,50,110,4,0.0005,32,1,32,True,0.3,256,0.686936,0.690653,0.686936,0.690653,,1161696,15380,1177076,3530940,1161600,176547000,5,50,440,uniform,16235540,81100800,15.09,1.6084,17.41,1170.3,471c8f4,2026-06-13T14:10:25,lora_factors
t5_ravan_svd_noniid_seed0_20260613_141054,t5_ravan_svd,svd,noniid,0,t5,50,20,3,50,110,4,0.0005,32,1,32,True,0.3,256,0.63582,0.642193,0.63582,0.642193,,1161696,15380,1177076,3530940,1161600,176547000,5,50,440,uniform,16235540,81100800,15.3,1.5977,17.61,1162.4,471c8f4,2026-06-13T14:29:58,lora_factors
