run_name,method,init,split,seed,model_type,rounds,clients,clients_per_round,local_steps,rank,heads,lr,batch_size,grad_accum_steps,effective_batch_size,use_amp,dirichlet_alpha,max_length,final_acc,best_acc,final_test_acc,best_test_acc,final_loss,trainable_adapter_params,trainable_head_params,total_trainable_params,communicated_params_per_round,communicated_adapter_params_per_client,total_main_communication_params,warmup_clients,warmup_steps,warmup_rank,warmup_weighting,warmup_trainable_params,warmup_communicated_params,warmup_train_runtime_s,warmup_svd_runtime_s,warmup_total_runtime_s,total_runtime_s,git_commit,timestamp
t5_no_lora_iid_seed0_20260614_152544,t5_no_lora,none,iid,0,t5,100,20,3,50,0,,0.001,32,1,32,True,0.3,256,0.61949,0.61949,0.61949,0.61949,,0,15380,15380,46140,0,4614000,,,,,,,,,,1291.5,6bd6f11,2026-06-14T15:46:56
t5_no_lora_noniid_seed0_20260614_160907,t5_no_lora,none,noniid,0,t5,100,20,3,50,0,,0.001,32,1,32,True,0.3,256,0.521774,0.545141,0.521774,0.545141,,0,15380,15380,46140,0,4614000,,,,,,,,,,1288.6,6bd6f11,2026-06-14T16:30:14
